מספר מאגר,זיהוי בעל המאגר- תאגיד,שם בעל מאגר,שם המאגר,ישוב,רחוב,בית,ת.ד.,מיקוד,שרותי דיוור,סטטוס מאגר,תאריך המאגר
589526,510614308,"גלובל תערוכות בע""מ ",קובץ עובדים,הרצליה,האשל,14,691,4610601,,מאושר,2/20/2002
589747,510753551,"סופר-פארם (ישראל) בע""מ",איכילוב עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,5/7/2006
589816,520037094,"מרכז רפואי תל-אביב ע""ש אליאס סוראסקי","נתוני מחלקת ילודיםופגים ב""ח ליס",תל אביב - יפו,ויצמן,6,,6423906,,מאושר,5/31/2006
589846,0,,נדף משה יועץ מס,,,,,,,מאושר,12/23/2001
590066,0,,מרפאה עצמאית,,,,,,,מאושר,11/20/2002
590135,0,,אנקורי יגאל שמאי רכב,,,,,,,מאושר,11/21/2002
590234,500106430,משרד המשפטים/הרשות לאיסור הלבנת הון ומימון טרור,"מאגר המידע על פי החוק לאיסור הלבנת הון (תש""ס-2000) ולפי חוק איסור מימון טרור (תשס""ה-2005)",תל אביב - יפו       ,דרך בגין,125,,6701201,,מאושר,4/20/2006
590524,512759051,"סטאר הום בע""מ",שכר/כח אדם,רעננה,התדהר,14,,4366516,,מאושר,6/18/2001
590531,512627324,"י.מ.י. - דרכי חינוך בע""מ",מנב'ס מנהל בית ספר רשימות תלמידים,נתניה,שמואל הנציב,30,0,4228135,,מאושר,5/28/2006
590881,512562729,"יחד מועדון צרכנות לרופאים בע""מ",מאגר בתי העסק שעמם קשור מועדון יחד,רמת גן,,,19,5210001,כן,מאושר,5/28/2006
591261,500300967,מ. ד. רמלה,תיקי נישואין,רמלה,,,36,7210001,,מאושר,4/30/2006
591277,511464398,"סטודיו סי בע""מ",רשימת לקוחות,גבעת שמואל          ,בן גוריון,20,,5401786,,מאושר,12/9/2001
591667,61199,שירותי בריאות כללית,ביטוח מושלם - שרותי בריאות כללית,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,12/23/2002
591796,500106406,משרד הרווחה/המשרד הראשי,סיוע לבודדים,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
591858,61199,שירותי בריאות כללית,"מרפאה לרפואה משלימה, במימון שירותי בריאו",תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,12/23/2002
592023,512852211,"מגדל שרותי בורסה (נ.ע.) בע""מ",מאגר לקוחות החברה המרכזית לשירותי בורסה,תל אביב,אחד העם,28,2799,6514107,,מאושר,12/23/2001
592207,500235700,עירית אריאל,"מנב""ס - זבולון",אריאל,יהודה,5,,4070000,,מאושר,11/19/2002
592214,511280760,"סטרפלאסט 3000 בע""מ",ללא שם,חיפה,הנאמנים,31,1499,3326445,,מאושר,11/19/2002
592238,510491210,סטרפלאסט תעשיות 1967 בעמ,ללא שם,עפולה,,,2085,1812002,,מאושר,11/19/2002
592367,512444761,"סי אנד שלס שיווק בע""מ","סי אנד שלס שיווק בע""מ",הרצליה              ,השונית,2,,4655502,,מותלה חוב,NULL
592466,0,,"בי""ס ענבל - נהול ביה""ס",,,,,,,מותלה חוב,NULL
592489,511905424,"גיאוקרטוגרפיה המכון למחקר מרחבי בע""מ",מאגר דירות שהוצעו למכירה (מהעיתונות),תל אביב - יפו,דרך בגין,154,,6492107,כן,מאושר,5/28/2006
592610,510866890,"וויאו בע""מ",ניהול שכר ומשאבי אנוש,לוד                 ,,,197,7110102,,מותלה חוב,NULL
593433,510753551,"סופר-פארם (ישראל) בע""מ",מודיעין ישפרו - תרופות המירשם,הרצליה,שנקר אריה,16,,4672516,,מאושר,12/7/2009
593501,513051789,"מתחתנים ברשת בע""מ ",מועדון לקוחות מתחתנים ברשת,פתח תקווה,,,7997,49517,כן,מאושר,5/7/2006
593852,0,,תוכנת עודכנית,,,,,,,מאושר,12/23/2002
593914,0,,מרפאת וורדה,,,,,,כן,מותלה חוב,NULL
594291,513514208,"סנטרל - סטוק בע""מ",זירת מסחר ברכיבים אלקטרוניים,נתניה,"אצל משה ז""ק שד' חן 8/11",11-Aug,,42438,,מותלה חוב,NULL
594316,500200431,מ. מ. מטולה,גבייה,מטולה,,,1,1029200,,מותלה חוב,NULL
594323,61199,שירותי בריאות כללית,"מרפאת כ""ס מקצועית, מחוז שרון - שומרון, ש",תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/24/2006
595221,513462069,"מי נתניה (2003) בע""מ",פרטי צרכני שרותי מים וביוב בעיר נתניה,נתניה,הצורן,4,,4250604,,מאושר,7/3/2011
595565,500211610,עירית רהט,חינוך,רהט,,,8,8535701,,מאושר,11/21/2002
595588,512567777,"סייברסרב אינטרנט ותקשורת בע""מ","פנויים ופניות ,מועדון האתר",קריית ביאליק,,,1001,2711001,כן,מאושר,6/19/2001
595984,500277009,עירית עפולה,אינטרנט,עפולה,,,2016,,כן,מאושר,4/30/2006
596433,510753551,"סופר-פארם (ישראל) בע""מ",מודיעין ישפרו - עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,12/7/2009
596518,513705699,"רשת עמל 1 בע""מ (חל""צ)","מנב""ס תלמידים כספים וכ""א",תל אביב - יפו,,,24104,6124002,,מאושר,4/30/2006
596914,511259442,"פמה נכסים (1987) בע""מ ",משכורות,כפר סבא,השקמה,40,248,4450024,,מותלה חוב,NULL
597002,520042672,"סימטרון בע""מ",מערכת נתוני שכר עבודה,רמת גן,דרך אבא הלל,16,,5250608,,מאושר,7/3/2001
597132,512804287,"סנמינה -אס סי איי מערכות ישראל בע""מ",שכר ושעות עבודה,לוד,בת שבע,1,1400,7120101,,מאושר,11/25/2001
597192,520028861,"החברה לניהול קרן השתלמות למשפטנים בע""מ",עמיתי קרן ההשתלמות למשפטנים,תל אביב,ארלוזורוב,93,0,6209801,,מאושר,4/30/2006
597247,500106265,"משרד הבריאות/מ""ר תל-השומר)שיבה(",טרשת נפוצה,רמת גן,דרך לוד,0,,,,מאושר,4/20/2006
597254,500106265,"משרד הבריאות/מ""ר תל-השומר)שיבה(",רשימת החולים הממתינים להשתלת כליות מהמת.,רמת גן,דרך לוד,0,,,,מאושר,11/20/2002
597376,511468597,"סינאל מלל פייווי בע""מ",עובדים שכר,יקנעם עילית,המצע,2,142,20692,,מותלה חוב,NULL
597871,61199,שירותי בריאות כללית,ניהול סיכוניים ביח' העמק שרותי ביראות כל,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,11/19/2002
598558,580113587,"מפעלי תורה וחסד ע""ש מרת חוה בילא גיטל רוז ע""ה",מנבס,מודיעין עלית,מסילת ישרים,1,4142,7181201,,מאושר,5/28/2006
599525,520037094,"מרכז רפואי תל-אביב ע""ש אליאס סוראסקי",מרכז תל אביב לדלקת,תל אביב - יפו,ויצמן,6,,6423906,כן,מאושר,5/28/2006
599760,511406670,"מרקורי אינטראקטיב (ישראל) בע""מ",תוכנת הנהלת חשבונות,יהוד,שבזי,19,0,5623024,,מאושר,5/31/2006
599790,520037094,"מרכז רפואי תל-אביב ע""ש אליאס סוראסקי","מחסן נתוני עובדים - המרכז הרפואי ת""א",תל אביב - יפו,ויצמן,6,,6423906,,מאושר,5/7/2006
599852,512895079,"סליס נטוורקס בע""מ",טבלת נתוני שכר ותנאים נלווים של העובדים,אור יהודה,נתניהו יהונתן,5,0,6037603,,מאושר,6/20/2001
600018,512427618,"דלפי גמא השקעות בע""מ",מאגרי מידע,נתניה,,,1605,4211502,,מאושר,11/18/2001
600092,510753551,"סופר-פארם (ישראל) בע""מ","בן גוריון ר""ג תרופות מרשם",הרצליה,שנקר אריה,16,,4672516,,מאושר,5/7/2006
600124,580106763,"ישיבות פאר משה (ע""ר)",ישיבות פאר משה,פתח תקווה           ,קרול יעקב,20,2625,4941260,,מותלה חוב,NULL
600468,500106265,"משרד הבריאות/מ""ר תל-השומר)שיבה(",מכון למעקב רפואי סקר מנהלים,רמת גן,דרך לוד,0,,,,מאושר,4/20/2006
600537,510446,הרצל,מצבת תלמידים,הרצליה,רח' הר סיני,.,5274,46224,,מאושר,12/23/2002
600543,511110603,"לוטן שרותי סיעוד בע""מ","לוטן שירותי סיעוד בע""מ-עובדים",חיפה,הרצליה,24,,3330127,,מאושר,11/21/2002
600567,0,,"מנב""ס",,,,,,,מאושר,11/21/2002
600573,511930125,"סלקום ישראל בע""מ","מאגר הספקים, המשכירים והמשווקים של סלקום.",נתניה               ,הגביש,10,4060,4250708,,מאושר,11/13/2001
600919,0,,מרפאת נשים,,,,,,,מותלה חוב,NULL
601198,511434730,"סמייל - שרותי תיירות בע""מ",סוכני נסיעות תיירות נכנסת ותיירות פנים.,תל אביב,ביאליק,12,0,6332414,כן,מאושר,7/1/2001
601465,510012958,רמט בעמ,שכר עובדים,תל אביב - יפו,קרמניצקי,2,,6789902,,מאושר,4/23/2006
601488,511880460,"אנליסט קופות גמל בע""מ",י קתדרה קופת גמל לחברי סגל אקדמי בטכניון,תל אביב - יפו       ,שדרות רוטשילד,46,0,,,מאושר,4/30/2006
601534,511257180,"סמעאן נופי ובניו בע""מ","הנה""ח",אילת,הבורסקאי,19,,8850119,,מאושר,7/25/2001
601633,510454333,"אלדן תחבורה  בע""מ",ספקים,תל אביב - יפו,שד ההשכלה,20,,6789020,,מאושר,5/31/2006
601748,512524059,"בית ספר מעון בית עדנאן בע""מ","מנב""ס",ירכא,ירכא רח' ראשי,.,24,24967,כן,מאושר,11/21/2002
602029,512871179,"אופטיקס נטוורקס (ישראל) בע""מ",נתוני כח אדם ושכר,כפר סבא,עתירי ידע,17,0,4464313,כן,מאושר,7/26/2001
602386,510141583,סנטוריום גן שלוה רמתיים בעמ,"סנטוריום גן שלוה רמתיים בע""מ",הוד השרון,ארלוזורוב,5,7,4520305,,מאושר,6/17/2001
602577,0,,מרפאה עצמאית,,,,,,,מותלה חוב,NULL
602739,510491210,סטרפלאסט תעשיות 1967 בעמ,לקוחות וספקים,עפולה,,,2085,1812002,,מאושר,11/19/2002
602838,61199,שירותי בריאות כללית,מפראת מודיעין מחוז מרכז,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/23/2006
602906,500106406,משרד הרווחה/המשרד הראשי,שרותי רווחה תחום רווחה,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
603063,0,,"מנב""ס משרד החינוך",,,,,,,מותלה חוב,NULL
603284,500102926,משרד הכלכלה,אגודות שתופיוות,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
603957,500106406,משרד הרווחה/המשרד הראשי,שרות מבחן לנוער - נתניה,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
604008,512791575,"הום מדיקל בע""מ",ללא שם,רמת גן,תובל,38,,5252246,,מאושר,10/22/2001
604075,513647644,"טוטוקרד 5 בע""מ",עובדים מקבלי שכר,ראשון לציון,דרך המכבים,46,15019,7505001,,מאושר,11/21/2002
604389,61199,שירותי בריאות כללית,מטופלים במכון הכבד,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,3/10/2005
604990,511494395,"ספנות פועלים ניהול בע""מ",לקוחות,תל אביב - יפו,שדרות רוטשילד,50,,6688314,כן,מאושר,10/25/2001
605111,500106406,משרד הרווחה/המשרד הראשי,נוכחות עובדים סן סימון,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
605195,61199,שירותי בריאות כללית,"כירורגית א' - בי""ח כרמל",תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,6/8/2006
605462,511313215,"ש.ל.ה. שירותי רפואה בע""מ",ללא שם,תל אביב - יפו,ארלוזורוב,101,16250,6116201,,מאושר,5/16/2013
605485,513253013,"מדיק4אול שירותים (ישראל) בע""מ",אמיואי כליניקאל פאיל,פתח תקוה,המפלסים,10,4222,4951420,,מאושר,5/7/2006
605591,520034695,"וואן טכנולוגיות תוכנה (או.אס.טי) בע""מ",נתוני שכר וכוח אדם קבוצת וואן,ראש העין            ,עמל,1,,4809201,,מאושר,NULL
605683,510541261,"אילנית, מלונאות וספורט ונופש בעמ",אורחים,אילת,החוף הצפוני,.,888,88100,כן,מותלה חוב,NULL
605722,512303793,"ישראקלאב תיירות והפקות בע""מ",לקוחות,ראשון לציון,,,17055,7507001,כן,מאושר,11/19/2002
605769,513063180,"אי.אר.אן. ישראל בע""מ",קובץ שירותי מידע,תל אביב - יפו       ,יגאל אלון,53,,6706206,,מאושר,4/24/2006
605814,511456634,"סקאל ספורט בע""מ",לקוחות וספקים סקאל ספורט,הרצליה,השונית,2,,4655502,כן,מאושר,6/25/2001
606026,589903046,ההסתדרות הרפואית בישראל -איגוד רופ,סקר אי ספיקת לב,רמת גן              ,ז'בוטינסקי,35,3604,5213605,,מאושר,NULL
606284,512398918,"סקיוריטי - 7 (תוכנה) בע""מ",מערכת ניהול שכר ומשאבי אנוש מערכת ניהול,יקנעם עילית,,,107,2069202,,מאושר,10/18/2001
606759,513237503,"מדליין ישראל בע""מ",מדליין ישראל,גבעתיים,דרך בן גוריון דוד,182,0,5332302,,מאושר,3/10/2013
607428,512326182,"סרף - פתרונות תקשורת בע""מ",אפליקציית משאבי אנוש,יקנעם עילית,בניין תבור שער יקנעם,4,343,20692,כן,מותלה חוב,NULL
607488,511928186,"עמית מערך דיור בע""מ",מעון עמית לוד,רמלה,נורדאו,5,0,7242507,,מאושר,11/18/2001
607570,61199,שירותי בריאות כללית,עומרי - בית חולים סורוקה,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/30/2006
607602,500106406,משרד הרווחה/המשרד הראשי,"יח' סיוע בימ""ש למשפחה קרית שמונה",ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
607626,500277009,עירית עפולה,גביה,עפולה,,,2016,,,מאושר,4/30/2006
607663,500106406,משרד הרווחה/המשרד הראשי,שרות מבחן לנוער - בקה אל גרביה,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
607785,513275180,"קונוס שיווק ופרסום בע""מ",מאגר קורות חיים קונוס,תל אביב,שדרות רוטשילד,140,0,6527216,,מאושר,5/7/2006
607891,510681414,"גוינט ישראל (חל""צ)",נתונים של עובדים,ירושלים,,,3489,9103401,,מאושר,8/22/2012
608485,512650094,"ווליום הפקות בע""מ ",מאגר תורמים,אלעזר               ,מודיעין,116,,9094200,כן,מותלה חוב,NULL
608492,511687402,"בוס-אודם בע""מ",אודם-רשימת עובדים,ראשון לציון,,,745,7510602,,מותלה חוב,NULL
609217,580242451,המכללה האקדמית נתניה,מאגר עובדים,נתניה,האוניברסיטה,1,,4223587,,מאושר,12/23/2002
610863,510273394,"תרכובות ברום בע""מ",מערכת שכר וכוח אדם,באר שבע,,,180,8410101,,מאושר,11/19/2002
611563,510499122,"דיפלומט מפיצים (1968 ) בע""מ",ללא שם,לוד,,,124,7110101,,מאושר,3/10/2013
611632,500106265,"משרד הבריאות/מ""ר תל-השומר)שיבה(",תמונות,רמת גן,דרך לוד,0,,,,מאושר,5/16/2013
611791,511707291,"אנגלו סכסון סוכנות לנכסים (ישראל 1992) בע""מ",מאגר לקוחות אנגלו סכסון,א.ת .הרצליה,,,12131,46733,כן,מאושר,11/21/2002
611846,513367888,"אקספריס תוכנה בע""מ",מאגר לקוחות,תל אביב - יפו,אלון יגאל,110,,6789149,,מאושר,5/20/2013
611860,570018473,מפעלי העמק אגודה חקלאית שיתופית מרכזית,מחלקת משכורות למפעלי העמק ואגודות +לשכת,מגדל העמק           ,,,73,2310001,,מותלה חוב,NULL
612194,513063180,"אי.אר.אן. ישראל בע""מ",קובץ עסקאות,תל אביב - יפו       ,יגאל אלון,53,,6706206,,מאושר,11/21/2002
612263,580291359,"עדן - העמותה לקידום פרוייקטים חינוכיים, חברתיים ותרבותיים בנגב הצפוני (ע""ר)",עדן עמותה לקידום,שדה צבי             ,,227,101,8534000,,מאושר,6/18/2001
612645,520037094,"מרכז רפואי תל-אביב ע""ש אליאס סוראסקי",גידולי מערכת העיכול,תל אביב - יפו,ויצמן,6,,6423906,,מאושר,3/10/2013
612699,510581325,מגדל דניאל מלון דירות בעמ,בעלי דירות פרטיות,הרצליה פיתוח,רמות ים,60,0,46851,כן,מותלה חוב,NULL
612707,580185700,קרן לרווחה לנפגעי השואה בישראל FOUNDATION FOR THE BENEFIT OF HOLOCAUST VICTIMS IN ISRAEL,עובדי הקרן לצורך תשלום משכורות.,תל אביב - יפו,תובל,5,,6789717,,מאושר,12/7/2009
612806,500277009,עירית עפולה,עולי אתיופיה,עפולה,,,2016,,,מאושר,4/30/2006
612813,512165861,"עובד גובי ושות' יעוץ פיננסי כלכלי בע""מ",ללא שם,כפר סבא,דוכיפת,6,,4424653,,מאושר,10/25/2001
613827,500106406,משרד הרווחה/המשרד הראשי,ועדת חריגים מחוז ירושלים,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
613840,501600928,ועד מקומי גניגר,קיבוץ גניגר,גיניגר,, ,,,,מאושר,2/10/2003
614021,511592529,"עולטקס תעשיות בע""מ",עולטקס תעשיות,ירושלים,מעשה חשב,4,,93420,,מותלה חוב,NULL
614395,511079709,"עולם חיים סוכנות לביטוח בע""מ",ללא שם,תל אביב,אלנבי,14,0,6330107,,מאושר,12/18/2001
614494,61199,שירותי בריאות כללית,בריאות הנפש פסיכיאטר מחוזי מחוז מרכז,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/23/2006
614526,511338618,"ערך רכב בע""מ",פרטי מבוטחים שרכבם ניזוק בתאונה,הוד השרון,,,7363,0,,מאושר,11/22/2001
614761,511079279,"באומן-בר-ריבנאי בע""מ",קובץ משכורות,רמת גן,החילזון,6,0,5252270,,מאושר,11/21/2002
615652,512961293,"קומסיין בע""מ ",מאגר תעודות אלקטרוניות תקפות,תל אביב,קרית עתידים,4,58007,6158001,,מאושר,11/26/2002
615959,510713175,עז - רום מפעלי מתכת בעמ,ללא שם,אשקלון,,,3065,78780,,מאושר,3/10/2013
616001,599000650,מפלגת מרצ,יחד-ישראל חברתית דמוקרטית,תל אביב - יפו,בית אלפא,13,51018,6721913,,מאושר,5/28/2006
616025,512244302,"013 נטוויז'ן בע""מ",נתוני שכר - חילן טק,נתניה,הגביש,10,4060,4214001,,מותלה חוב,NULL
616124,580079978,עזר מציון,תורמי מח עצם ודם,בני ברק,,,2709,5112701,,מאושר,6/25/2001
616191,0,,"מנב""ס",,,,,,,מותלה חוב,NULL
616253,0,,מרפאה עצמאית,,,,,,,מאושר,3/10/2013
616857,580224483,ישיבת חברון גאולה,"מנב""ס",ירושלים,חגי,24,50236,9526631,,מאושר,5/28/2006
616894,510879919,"עידו נסיעות ותיירות בע""מ",לקוחות לידו נסיעות,תל אביב,ויסוצקי,18,0,6233809,,מאושר,6/26/2001
616919,520013988,עידוד בעמ,"עודכנית - תוכנה לניהול הוצל""פ לעו""ד",תל אביב,בית השואבה,6,0,6581404,,מאושר,12/23/2001
617014,580094654,עידן - העמותה לשרותים קהילתיים לקשישים בירושלים,נהול כח אדם בעמותה,ירושלים,יוסי בן יועזר פינת אלעזר הגדול,28,0,0,,מאושר,7/31/2001
617296,510753551,"סופר-פארם (ישראל) בע""מ",יפו - עובדים,הרצליה,שנקר אריה,16,,4672516,,מאושר,12/7/2009
617908,500106406,משרד הרווחה/המשרד הראשי,שרות מבחן לנוער - נהריה,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
618392,580163517,"המוקד להגנת הפרט מיסודה של ד""ר לוטה זלצברגר",ניהול תיקים,ירושלים             ,שמואל הנגיד,27,,9426905,,מאושר,5/28/2006
618523,512100009,"קרסטרים בריאות בע""מ",ללא שם,יקנעם עילית,הכרמל,3,250,2069204,,מותלה חוב,NULL
618768,500290002,עירית באר שבע,"מאגר בטיחות של יחידת המב""ט",באר שבע             ,כיכר מנחם בגין,1,,,,מאושר,12/23/2001
618880,500211610,עירית רהט,ללא שם,רהט,,,8,8535701,,מאושר,2/6/2002
618929,114033,מנחת,מנהלת בית ספר,ירושלים,האייל,2,,9695502,,מאושר,5/28/2006
619055,513091207,"אס. פי. אל. תוכנה בע""מ",מע' שכר,אור יהודה,נתניהו יהונתן,3,,6037602,,מאושר,11/21/2002
619322,500100904,משרד הבריאות/המשרד הראשי,רקחת - נתונים על בתי מרקחת ורוקחים במחוז,ירושלים             ,ירמיהו,39,,9446724,,מאושר,2/22/2009
619375,511656589,"עלה שרותי אקולוגיה בע""מ","עלה שירותי אקולוגיה בע""מ",גדרה,פינס,86,235,7044531,,מותלה חוב,NULL
619887,512865312,"ארד טכנולוגיות מדידה בע""מ",CITY-MIND,יקנעם עלית,המדע,4,537,2066718,כן,מאושר,6/8/2006
620122,500106406,משרד הרווחה/המשרד הראשי,מאגר יועצים,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
620627,580308781,"בית חם תורה עם דרך ארץ (ע""ר)",NAMES SALSHIKUM,בני ברק,הרב כהנמן,72,0,5155223,,מאושר,6/17/2001
620825,580146850,"ארנון - עמותה לחינוך, אמנות תרבות וספורט","לשכת עבודה ""מעברים""",מ.א. שער הנגב       ,,,,7916700,כן,מותלה חוב,NULL
620900,580255891,עמותת בית אבות אשדוד,תיק רפואי סיעודי ורפואי לכל דייר ותיקי ע,אשדוד               ,הרב ניסים,7,,7762307,,מאושר,6/25/2001
620924,580122778,עמותת בני המושבים,ללא שם,תל אביב - יפו       ,דה וינצ'י לאונרדו,19,,6473318,,מאושר,3/10/2013
621043,0,,look4love,,,,,,כן,מאושר,4/30/2006
621080,580163830,"מכון פוירשטיין (ע""ר)",המרכז הבינלאומי לקידום כושר הלמידה,ירושלים,נרקיס,47,7755,9107701,,מאושר,11/22/2004
621166,580350981,"חיינו - חי ליפליין (ע""ר)",ארגון חיינו חי לייפלין,ירושלים,ירמיהו 43סנטר 1ים,43,,94467,כן,מותלה חוב,NULL
621357,580077824,"מרכז להכשרה מקצועית תיכונית ותורנית, מיסודה של הסתדרות הנוער הדתי העובד בישראל",מרכז להכשרה מקצועית נחלים,נחלים               ,שניר,59,,4995000,,מאושר,6/25/2001
621525,580232411,שלומית - עמותה להפעלת מתנדבים לשירות לאומי,מערכת שלומית (מתנדבות + מתענייניות),רמת גן,מנחם,16,1738,5232416,,מאושר,6/18/2001
621760,500500517,בנק ישראל/ המשרד הראשי,"לווים בעלי אשראי במט""ח",ירושלים,,,780,9100701,,מאושר,6/8/2006
622149,557285822,עמינח,שכר עובדים,ניר צבי,,,215,7290500,,מאושר,7/3/2001
622156,557285822,עמינח,שכר עובדים,ניר צבי,,,215,7290500,,מאושר,7/3/2001
622607,61199,שירותי בריאות כללית,מרכז רפואי עלאדין מחוז ירושלים שרותי ברי,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/24/2006
622995,580104859,"עמך (ע""ר)",עמך,ירושלים,הלל,23,2930,9458123,,מאושר,11/19/2002
623031,510779739,"עמלן סחר ושירותים בע""מ","עמלן בע""מ - שכיר",חיפה,בן יוסף שלמה,א 27,,32961,,מותלה חוב,NULL
623176,500104559,המרכז הרפואי לגליל,מאגר כספים,נהרייה              ,,,21,2210001,,מאושר,5/31/2006
623183,512042516,"מכללת היי טק הדרכה טכנולוגית בע""מ",בסיס נתוני לקוחות Athena,תל אביב - יפו,חומה ומגדל,29,,6777129,,מאושר,6/8/2006
623628,501600787,ועד מקומי קרית ענבים,מע' פיננסית ענביד,קריית ענבים,, ,,,,מאושר,7/11/2001
623849,570009852,"קרן מקפת מרכז לפנסיה ותגמולים א.ש .בע""מ",מבוטחים ובעלי זכויות בקרן הפנסיה,תל אביב,קויפמן יחזקאל,6,50445,6150302,,מאושר,5/28/2006
623879,512799636,"מחשבה טכנולוגיות 99 בע""מ",חברה - אתר אינטרנט,אור יהודה,נתניהו יהונתן,5,,6037603,כן,מותלה חוב,NULL
624265,0,,"אגת ביטוח נדל""ן מימון ופתרונות פיננסים",,,,,,כן,מותלה חוב,NULL
625156,514065283,"קרסו מוטורס בע""מ",ללא שם,"בני עי""ש",,,90,6086000,,מאושר,4/9/2003
625409,520014846,"אמיליה פיתוח (מ.עו.פ.) בע""מ",שכר עובדים,רמת גן,דרך בגין מנחם,11,,5268104,,מאושר,12/23/2002
625483,520034323,"קניאל אריזות משקה בע""מ",מאגר שכר עובדים,כפר סבא,לוי,6,20,4410001,,מאושר,2/20/2002
625545,500106984,"משרד הבריאות/בי""ח פרדסיה",מאגר זכאים לקיצבת ביטוח לאומי,צור משה             ,השיבולים,,,4281000,,מאושר,4/30/2006
625681,511511503,"פרח השקד בע""מ","פרד השקד בע""מ",תל אביב,דרך בגין,48,0,6618003,,מאושר,2/20/2002
625842,500200704,עירית אשדוד,שכר וכח אדם,אשדוד,הגדוד העברי,10,28,7745501,,מאושר,4/30/2006
625995,500244272,מ. א. גן רוה,מערך שכר,בית חנן,בית חנן, ,,,,מאושר,12/23/2002
626000,580098754,ערכים - אגודה להפצת התודעה היהודית,נתונים עבור בוגרי סמינרים,בני ברק             ,,,2007,5112001,,מאושר,7/12/2001
626123,512756958,ערן מור שירותי איסוף מידע ,ערן מור שירותי איסוף מידע,תל אביב,השלושה,2,0,6706054,,מאושר,10/25/2004
626275,512886011,"שי עשהאל בע""מ",לקוחות פוטנציאלים,מודיעין-מכבים-רעות,לילך מכבים רעות,40,,7179902,כן,מותלה חוב,NULL
626338,0,,מרפאה אורטופדית עצמאית-שרותי בריאות כללי,,,,,,,מותלה חוב,NULL
626420,61199,שירותי בריאות כללית,מרפאת לוד א - ב מחוז מרכז,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,4/23/2006
626596,61199,שירותי בריאות כללית,טראומה - ביח' העמק שרותי בריאות כללית,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,11/19/2002
626665,61199,שירותי בריאות כללית,חלבון עוברי - ביח' העמק שרותי בריאות כל,תל אביב - יפו       ,ארלוזורוב,115,16250,6209813,,מאושר,11/19/2002
626787,511508186,"עתיד רשת מכללות טכנולוגיות בע""מ","תוכנות שכר חי""ל",טירת כרמל,מוצקין,13,,3902652,כן,מותלה חוב,NULL
626886,500106265,"משרד הבריאות/מ""ר תל-השומר)שיבה(",מירשם קוצבי לב ודפורהלוטרים,רמת גן,דרך לוד,0,,,,מאושר,5/28/2006
627364,511226011,"נחימוב אחזקות ונכסים בע""מ",משכורות לעובדים,ירושלים,ריבלין יוסף,22,,9424018,,מותלה חוב,NULL
627394,511879066,"אינטראמריקן מרקטינג סיסטמס בע""מ",בסיס נתונים לטלמרקטינג,גבעתיים,הצנחנים,27,,5344302,כן,מאושר,3/30/2006
627654,511349631,"מ. מלכיאלי בע""מ",זכאי חוק סיעוד ביטוח לאומי,אשדוד,,,5188,7715101,כן,מאושר,11/21/2002
627921,580014983,"אגודת בית  ספר תיכון עירוני כל ישראל חברים ע""ש פרופ' רנה קאסן",מנהלת בית ספר,ירושלים,נטר,1,18148,97762,,מאושר,5/28/2006
628064,510843931,"אנלוג מיכשורים (ישראל) בע""מ",נתוני השכר של חברת אנלוג,תל אביב - יפו,אבן גבירול,25,,6407803,,מאושר,4/10/2012
628179,500106406,משרד הרווחה/המשרד הראשי,אזרח ותיק,ירושלים,בנק ישראל,5,,9195021,,מאושר,4/24/2006
628575,511464927,"מ.ג.ע.ר. - מרכז גביה ממוחשבת בע""מ",נתוני שכר העובדים:נתונים למועמדים לעבודה,בית דגן,בגין מנחם,5,39,5020000,,מאושר,11/19/2002
628599,510379910,כנען- סוכנויות לבטוח בעמ,ביטוח אלמנטרי,פתח תקווה           ,עמל,68,,4951368,,מאושר,11/18/2004
